user,day,login_count,failed_logins,after_hours_logins,sensitive_file_access,unique_systems,avg_session_duration,is_actual_threat
user_001,0,8,0,0,1,3,30.0,False
user_001,1,8,0,1,2,2,25.64,False
user_001,2,8,1,1,1,1,81.75,False
user_001,3,6,0,1,0,1,72.48,False
user_001,4,3,1,0,3,1,24.65,False
user_001,5,3,0,0,0,3,21.33,False
user_001,6,9,1,1,1,2,50.46,False
user_001,7,5,1,1,3,3,88.33,False
user_001,8,8,0,0,0,2,86.25,False
user_001,9,2,1,1,1,2,23.13,False
user_001,10,2,1,1,1,2,109.48,False
user_001,11,8,1,0,3,1,116.12,False
user_001,12,5,1,0,1,3,102.87,False
user_001,13,9,1,1,3,1,34.09,False
user_001,14,1,0,0,0,1,39.87,False
user_001,15,8,0,0,2,1,91.13,False
user_001,16,3,0,0,4,2,55.85,False
user_001,17,9,1,0,0,2,29.54,False
user_001,18,7,0,1,4,3,79.13,False
user_001,19,6,0,0,0,3,31.96,False
user_001,20,3,0,0,1,3,97.1,False
user_001,21,7,0,0,1,2,63.93,False
user_001,22,3,0,1,0,1,70.86,False
user_001,23,5,0,0,4,3,95.56,False
user_001,24,4,0,1,2,3,36.12,False
user_001,25,2,1,0,0,1,107.15,False
user_001,26,4,1,1,2,2,32.21,False
user_001,27,9,0,1,0,1,42.79,False
user_001,28,9,1,0,0,3,20.7,False
user_001,29,8,0,0,4,1,31.99,False
user_002,0,6,1,1,0,1,26.49,False
user_002,1,4,1,1,1,3,50.09,False
user_002,2,1,1,0,2,1,117.66,False
user_002,3,6,0,0,0,1,43.96,False
user_002,4,2,0,1,1,2,44.21,False
user_002,5,4,0,0,2,1,92.82,False
user_002,6,8,0,1,1,2,59.88,False
user_002,7,1,0,1,2,2,89.58,False
user_002,8,3,1,1,2,3,91.11,False
user_002,9,3,1,1,3,1,89.09,False
user_002,10,7,1,1,0,3,54.11,False
user_002,11,9,1,0,1,3,42.86,False
user_002,12,9,1,1,0,2,119.63,False
user_002,13,5,0,1,2,3,53.9,False
user_002,14,3,0,1,2,2,97.99,False
user_002,15,8,1,0,0,2,86.9,False
user_002,16,3,1,1,0,3,117.37,False
user_002,17,2,1,1,1,2,89.19,False
user_002,18,9,1,0,3,1,69.39,False
user_002,19,4,1,1,2,1,50.81,False
user_002,20,3,1,0,4,3,109.2,False
user_002,21,2,0,1,0,3,69.25,False
user_002,22,5,1,0,2,3,96.86,False
user_002,23,1,1,1,4,2,111.49,False
user_002,24,3,1,0,4,1,62.82,False
user_002,25,5,0,0,3,1,27.53,False
user_002,26,5,1,0,0,3,36.95,False
user_002,27,9,1,0,1,3,77.01,False
user_002,28,8,1,1,1,3,71.83,False
user_002,29,2,1,0,0,1,90.25,False
user_003,0,7,1,0,1,1,81.15,False
user_003,1,7,0,1,4,1,27.09,False
user_003,2,3,0,0,3,2,29.4,False
user_003,3,7,0,1,2,1,35.5,False
user_003,4,6,1,1,0,2,102.26,False
user_003,5,6,0,1,4,1,102.79,False
user_003,6,5,0,1,4,2,74.06,False
user_003,7,7,1,1,4,2,71.63,False
user_003,8,3,0,1,2,2,27.85,False
user_003,9,5,1,0,0,1,25.82,False
user_003,10,1,0,1,0,1,47.99,False
user_003,11,7,1,0,4,2,93.0,False
user_003,12,3,1,1,2,1,32.02,False
user_003,13,5,0,0,3,1,67.42,False
user_003,14,5,0,1,0,2,63.39,False
user_003,15,7,1,1,4,2,46.09,False
user_003,16,3,1,1,0,1,88.4,False
user_003,17,8,1,0,1,1,106.72,False
user_003,18,4,1,1,1,3,84.33,False
user_003,19,1,0,0,2,1,82.59,False
user_003,20,1,0,1,1,3,39.58,False
user_003,21,2,0,0,1,3,53.66,False
user_003,22,8,0,1,1,2,54.06,False
user_003,23,3,0,0,3,2,89.67,False
user_003,24,8,1,0,4,1,48.2,False
user_003,25,5,0,1,2,1,93.16,False
user_003,26,4,1,0,4,1,87.98,False
user_003,27,7,0,0,0,2,110.26,False
user_003,28,4,1,0,4,3,30.0,False
user_003,29,4,1,0,0,3,29.13,False
user_004,0,4,0,1,4,1,49.32,False
user_004,1,9,1,0,4,1,99.16,False
user_004,2,9,0,0,4,2,117.42,False
user_004,3,5,0,0,4,3,90.58,False
user_004,4,9,1,1,3,1,30.11,False
user_004,5,7,1,0,1,1,102.19,False
user_004,6,2,0,0,4,2,118.66,False
user_004,7,1,1,1,0,3,110.77,False
user_004,8,4,1,1,3,3,68.17,False
user_004,9,6,0,0,1,2,53.03,False
user_004,10,3,0,0,1,2,25.63,False
user_004,11,8,0,0,0,3,94.6,False
user_004,12,9,0,1,0,1,106.86,False
user_004,13,6,0,1,1,1,116.99,False
user_004,14,5,1,1,4,3,111.91,False
user_004,15,4,0,0,3,1,72.31,False
user_004,16,9,0,1,0,1,89.69,False
user_004,17,3,1,0,0,3,48.1,False
user_004,18,8,1,1,3,1,47.74,False
user_004,19,4,1,1,1,2,46.59,False
user_004,20,5,0,1,2,2,23.23,False
user_004,21,9,0,0,3,1,88.47,False
user_004,22,3,0,1,1,3,92.57,False
user_004,23,9,1,1,1,3,24.52,False
user_004,24,7,1,0,0,2,118.73,False
user_004,25,1,0,0,1,3,59.3,False
user_004,26,1,0,0,1,1,61.48,False
